"ID"	"State"	"InitialState"
"C01_NonTLS"	"S01"	"IS01"
"c_7_NonTLS"	"S01"	"IS01"
"c_34_TLS"	"S01"	"IS01"
"c_34_NonTLS"	"S01"	"IS01"
"c_36_TLS"	"S01"	"IS01"
"c_45_NonTLS"	"S01"	"IS01"
"P131_NonTLS"	"S02"	"IS05"
"c_2_TLS"	"S02"	"IS05"
"c_2_NonTLS"	"S02"	"IS05"
"c_51_TLS"	"S02"	"IS05"
"a_3_TLS"	"S02"	"IS05"
"a_3_NonTLS"	"S02"	"IS05"
"a_15_NonTLS"	"S02"	"IS05"
"a_17_NonTLS"	"S02"	"IS05"
"B26_TLS"	"S03"	"IS03"
"B49_TLS"	"S03"	"IS03"
"B49_NonTLS"	"S03"	"IS03"
"c_3_TLS"	"S03"	"IS03"
"c_3_NonTLS"	"S03"	"IS03"
"c_7_TLS"	"S03"	"IS03"
"a_15_TLS"	"S03"	"IS03"
"b_1_TLS"	"S03"	"IS03"
"b_18_TLS"	"S03"	"IS03"
